source_function	destination_file	raw_nodes	P	F	S	X	E
python/test/unit/language/test_core.py::test_if_return	community/language/test_core.py	2	2	0	0	0	0
python/test/unit/language/test_core.py::test_index1d	community/language/test_core.py	12	12	0	0	0	0
python/test/unit/language/test_core.py::test_interleave	community/language/test_core.py	2	2	0	0	0	0
python/test/unit/language/test_core.py::test_interleave_scalars	community/language/test_core.py	1	1	0	0	0	0
python/test/unit/language/test_core.py::test_invalid_pid_axis	community/language/test_core.py	1	1	0	0	0	0
python/test/unit/language/test_core.py::test_invalid_slice	community/language/test_core.py	1	1	0	0	0	0
python/test/unit/language/test_core.py::test_jit_function_arg	community/language/test_core.py	1	1	0	0	0	0
python/test/unit/language/test_core.py::test_join	community/language/test_core.py	1	1	0	0	0	0
python/test/unit/language/test_core.py::test_join_scalars	community/language/test_core.py	1	1	0	0	0	0
python/test/unit/language/test_core.py::test_join_with_mma	community/language/test_core.py	1	1	0	0	0	0
python/test/unit/language/test_core.py::test_load_scalar_with_mask	community/language/test_core.py	1	1	0	0	0	0
python/test/unit/language/test_core.py::test_load_store_same_ptr	community/language/test_core.py	1	1	0	0	0	0
python/test/unit/language/test_core.py::test_map_elementwise	community/language/test_core.py	1	1	0	0	0	0
python/test/unit/language/test_core.py::test_masked_load_scalar	community/language/test_core.py	4	4	0	0	0	0
python/test/unit/language/test_core.py::test_masked_load_shared_memory	community/language/test_core.py	3	3	0	0	0	0
python/test/unit/language/test_core.py::test_math_divide_op	community/language/test_core.py	2	2	0	0	0	0
python/test/unit/language/test_core.py::test_max_returns_zero	community/language/test_core.py	1	1	0	0	0	0
python/test/unit/language/test_core.py::test_nested_if_else_return	community/language/test_core.py	8	8	0	0	0	0
python/test/unit/language/test_core.py::test_nested_while	community/language/test_core.py	1	1	0	0	0	0
python/test/unit/language/test_core.py::test_num_programs	community/language/test_core.py	1	1	0	0	0	0
python/test/unit/language/test_core.py::test_propagate_nan	community/language/test_core.py	12	12	0	0	0	0
python/test/unit/language/test_core.py::test_reshape	community/language/test_core.py	4	4	0	0	0	0
python/test/unit/language/test_core.py::test_reshape_err	community/language/test_core.py	1	1	0	0	0	0
python/test/unit/language/test_core.py::test_scalar_overflow	community/language/test_core.py	1	1	0	0	0	0
python/test/unit/language/test_core.py::test_scan2d	community/language/test_core.py	1009	897	0	112	0	0
python/test/unit/language/test_core.py::test_scan_1d	community/language/test_core.py	7	7	0	0	0	0
python/test/unit/language/test_core.py::test_shapes_as_params	community/language/test_core.py	1	1	0	0	0	0
python/test/unit/language/test_core.py::test_short_circuiting	community/language/test_core.py	1	1	0	0	0	0
python/test/unit/language/test_core.py::test_slice	community/language/test_core.py	1	1	0	0	0	0
python/test/unit/language/test_core.py::test_split	community/language/test_core.py	1	1	0	0	0	0
python/test/unit/language/test_core.py::test_split_to_scalar	community/language/test_core.py	1	1	0	0	0	0
python/test/unit/language/test_core.py::test_static_range	community/language/test_core.py	1	1	0	0	0	0
python/test/unit/language/test_core.py::test_temp_var_in_loop	community/language/test_core.py	1	1	0	0	0	0
python/test/unit/language/test_core.py::test_tensor_atomic_add_access_patterns	community/language/test_core.py	240	240	0	0	0	0
python/test/unit/language/test_core.py::test_tensor_atomic_add_non_exclusive_offset	community/language/test_core.py	18	18	0	0	0	0
python/test/unit/language/test_core.py::test_tensor_atomic_add_shift_1	community/language/test_core.py	18	18	0	0	0	0
python/test/unit/language/test_core.py::test_tensor_atomic_rmw_block	community/language/test_core.py	1	1	0	0	0	0
python/test/unit/language/test_core.py::test_tensor_member	community/language/test_core.py	1	1	0	0	0	0
python/test/unit/language/test_core.py::test_tl_range_num_stages	community/language/test_core.py	1	1	0	0	0	0
python/test/unit/language/test_core.py::test_tl_range_option_none	community/language/test_core.py	1	1	0	0	0	0
python/test/unit/language/test_core.py::test_tma_load_block_shape_err	community/language/test_core.py	1	1	0	0	0	0
python/test/unit/language/test_core.py::test_tma_store_block_shape_err	community/language/test_core.py	1	1	0	0	0	0
python/test/unit/language/test_core.py::test_umulhi	community/language/test_core.py	1	1	0	0	0	0
python/test/unit/language/test_core.py::test_unroll_attr	community/language/test_core.py	1	1	0	0	0	0
python/test/unit/language/test_core.py::test_unsigned_name_mangling	community/language/test_core.py	1	1	0	0	0	0
python/test/unit/language/test_core.py::test_unsplat	community/language/test_core.py	1	1	0	0	0	0
python/test/unit/language/test_core.py::test_value_specialization	community/language/test_core.py	11	11	0	0	0	0
python/test/unit/language/test_core.py::test_value_specialization_overflow	community/language/test_core.py	4	4	0	0	0	0
python/test/unit/language/test_core.py::test_where_broadcast	community/language/test_core.py	1	1	0	0	0	0
python/test/unit/language/test_core.py::test_while	community/language/test_core.py	1	1	0	0	0	0
python/test/unit/language/test_decorator.py::test_decorator_with_def	community/language/test_decorator.py	1	1	0	0	0	0
python/test/unit/language/test_decorator.py::test_triton_heuristic	community/language/test_decorator.py	1	1	0	0	0	0
python/test/unit/language/test_frontend.py::test_aggregate_constexpr_function	community/language/test_frontend.py	1	1	0	0	0	0
python/test/unit/language/test_frontend.py::test_aggregate_initializers	community/language/test_frontend.py	1	1	0	0	0	0
python/test/unit/language/test_frontend.py::test_aggregate_modification_in_for_loop	community/language/test_frontend.py	1	1	0	0	0	0
python/test/unit/language/test_frontend.py::test_aggregate_modification_in_while_loop	community/language/test_frontend.py	1	1	0	0	0	0
python/test/unit/language/test_frontend.py::test_assign_attribute	community/language/test_frontend.py	1	1	0	0	0	0
python/test/unit/language/test_frontend.py::test_assign_item	community/language/test_frontend.py	1	1	0	0	0	0
python/test/unit/language/test_frontend.py::test_assign_tuple_attrs_kernel	community/language/test_frontend.py	1	1	0	0	0	0
python/test/unit/language/test_frontend.py::test_augassign_attribute	community/language/test_frontend.py	1	1	0	0	0	0
python/test/unit/language/test_frontend.py::test_augassign_item	community/language/test_frontend.py	1	1	0	0	0	0
python/test/unit/language/test_frontend.py::test_call_in_loop	community/language/test_frontend.py	1	1	0	0	0	0
python/test/unit/language/test_frontend.py::test_call_in_while	community/language/test_frontend.py	1	1	0	0	0	0
python/test/unit/language/test_frontend.py::test_constexpr_function_from_jit	community/language/test_frontend.py	1	1	0	0	0	0
python/test/unit/language/test_frontend.py::test_constexpr_function_from_python	community/language/test_frontend.py	1	1	0	0	0	0
python/test/unit/language/test_frontend.py::test_constexpr_function_taking_list	community/language/test_frontend.py	1	1	0	0	0	0
python/test/unit/language/test_frontend.py::test_constexpr_getitem	community/language/test_frontend.py	1	1	0	0	0	0
python/test/unit/language/test_frontend.py::test_constexpr_max_error	community/language/test_frontend.py	1	1	0	0	0	0
python/test/unit/language/test_frontend.py::test_constexpr_min_error	community/language/test_frontend.py	1	1	0	0	0	0
python/test/unit/language/test_frontend.py::test_constexpr_min_max	community/language/test_frontend.py	1	1	0	0	0	0
python/test/unit/language/test_frontend.py::test_for_loop_iv_modification	community/language/test_frontend.py	1	1	0	0	0	0
python/test/unit/language/test_frontend.py::test_jit_getitem	community/language/test_frontend.py	1	1	0	0	0	0
python/test/unit/language/test_frontend.py::test_jit_method	community/language/test_frontend.py	1	1	0	0	0	0
python/test/unit/language/test_frontend.py::test_late_bound_class_reference	community/language/test_frontend.py	1	1	0	0	0	0
python/test/unit/language/test_frontend.py::test_reassign_aggregate_with_constexpr	community/language/test_frontend.py	1	1	0	0	0	0
python/test/unit/language/test_frontend.py::test_retrieve_item	community/language/test_frontend.py	1	1	0	0	0	0
python/test/unit/language/test_frontend.py::test_return_in_while	community/language/test_frontend.py	1	1	0	0	0	0
python/test/unit/language/test_frontend.py::test_specialized_recursion	community/language/test_frontend.py	1	1	0	0	0	0
python/test/unit/language/test_libdevice.py::test_libdevice_rename	community/language/test_libdevice.py	1	1	0	0	0	0
python/test/unit/language/test_line_info.py::test_map_elementwise_has_lineinfo	community/language/test_line_info.py	1	1	0	0	0	0
python/test/unit/language/test_pipeliner.py::test_pipeline_epilogue	community/language/test_pipeliner.py	20	20	0	0	0	0
python/test/unit/language/test_pipeliner.py::test_pipeline_matmul	community/language/test_pipeliner.py	2	1	0	1	0	0
python/test/unit/language/test_pipeliner.py::test_pipeline_vecadd	community/language/test_pipeliner.py	1	1	0	0	0	0
python/test/unit/language/test_random.py::test_rand	community/language/test_random.py	16	16	0	0	0	0
python/test/unit/language/test_random.py::test_rand_limits	community/language/test_random.py	2	2	0	0	0	0
python/test/unit/language/test_random.py::test_randn	community/language/test_random.py	16	16	0	0	0	0
python/test/unit/language/test_random.py::test_seed_is_int	community/language/test_random.py	1	1	0	0	0	0
python/test/unit/language/test_standard.py::test_flip_inf	community/language/test_standard.py	1	1	0	0	0	0
python/test/unit/language/test_standard.py::test_ravel	community/language/test_standard.py	1	1	0	0	0	0
python/test/unit/language/test_standard.py::test_swizzle2d	community/language/test_standard.py	1	1	0	0	0	0
python/test/unit/language/test_tensor_descriptor.py::test_host_tensor_descriptor_load	community/language/test_tensor_descriptor.py	72	36	0	36	0	0
python/test/unit/language/test_tensor_descriptor.py::test_host_tensor_descriptor_matmul	community/language/test_tensor_descriptor.py	14	7	0	7	0	0
python/test/unit/language/test_tensor_descriptor.py::test_make_tensor_descriptor_matmul	community/language/test_tensor_descriptor.py	14	7	0	7	0	0
python/test/unit/language/test_tensor_descriptor.py::test_tensor_descriptor_functional_interface	community/language/test_tensor_descriptor.py	9	9	0	0	0	0
python/test/unit/language/test_tensor_descriptor.py::test_tensor_descriptor_load	community/language/test_tensor_descriptor.py	108	54	0	54	0	0
python/test/unit/language/test_tensor_descriptor.py::test_tensor_descriptor_load3d	community/language/test_tensor_descriptor.py	36	34	0	2	0	0
python/test/unit/language/test_tensor_descriptor.py::test_tensor_descriptor_padding	community/language/test_tensor_descriptor.py	1	1	0	0	0	0
python/test/unit/language/test_tensor_descriptor.py::test_tensor_descriptor_store	community/language/test_tensor_descriptor.py	108	54	0	54	0	0
python/test/unit/language/test_tensor_descriptor.py::test_tensor_descriptor_store3d	community/language/test_tensor_descriptor.py	36	34	0	2	0	0
python/test/unit/language/test_tensor_descriptor.py::test_tensor_descriptor_store_downcast	community/language/test_tensor_descriptor.py	2	2	0	0	0	0
python/test/unit/language/test_tensor_descriptor.py::test_tma_gather_dot_pipeline	community/language/test_tensor_descriptor.py	1	1	0	0	0	0
python/test/unit/language/test_tuple.py::test_add	community/language/test_tuple.py	1	1	0	0	0	0
python/test/unit/language/test_tuple.py::test_assign_return	community/language/test_tuple.py	1	1	0	0	0	0
python/test/unit/language/test_tuple.py::test_eq	community/language/test_tuple.py	1	1	0	0	0	0
python/test/unit/language/test_tuple.py::test_modifying_tuples	community/language/test_tuple.py	1	1	0	0	0	0
python/test/unit/language/test_tuple.py::test_passing_nested_tuple_with_constexpr_and_jit_hook	community/language/test_tuple.py	1	1	0	0	0	0
python/test/unit/language/test_tuple.py::test_tuple_float	community/language/test_tuple.py	1	1	0	0	0	0
python/test/unit/language/test_tuple.py::test_tuple_logic	community/language/test_tuple.py	1	1	0	0	0	0
python/test/unit/runtime/test_autotuner.py::test_hooks	community/runtime/test_autotuner.py	1	1	0	0	0	0
python/test/unit/runtime/test_autotuner.py::test_kwargs	community/runtime/test_autotuner.py	2	1	0	0	1	0
python/test/unit/runtime/test_autotuner.py::test_no_do_bench	community/runtime/test_autotuner.py	1	1	0	0	0	0
python/test/unit/runtime/test_autotuner.py::test_prune_all_configs	community/runtime/test_autotuner.py	1	1	0	0	0	0
python/test/unit/runtime/test_autotuner.py::test_prune_configs	community/runtime/test_autotuner.py	2	2	0	0	0	0
python/test/unit/runtime/test_autotuner.py::test_restore	community/runtime/test_autotuner.py	2	2	0	0	0	0
python/test/unit/runtime/test_bindings.py::test_module_walk	community/runtime/test_bindings.py	1	1	0	0	0	0
python/test/unit/runtime/test_bindings.py::test_python_func_in_visit_call	community/runtime/test_bindings.py	1	1	0	0	0	0
python/test/unit/runtime/test_build.py::test_compile_module	community/runtime/test_build.py	1	1	0	0	0	0
python/test/unit/runtime/test_build.py::test_compile_module_bad_cache	community/runtime/test_build.py	1	1	0	0	0	0
python/test/unit/runtime/test_cache.py::test_async_compile	community/runtime/test_cache.py	1	1	0	0	0	0
python/test/unit/runtime/test_cache.py::test_async_compile_mock	community/runtime/test_cache.py	1	1	0	0	0	0
python/test/unit/runtime/test_cache.py::test_cache_builtin_as_global	community/runtime/test_cache.py	1	1	0	0	0	0
python/test/unit/runtime/test_cache.py::test_cache_closure	community/runtime/test_cache.py	1	1	0	0	0	0
python/test/unit/runtime/test_cache.py::test_changed_line_numbers_invalidate_cache	community/runtime/test_cache.py	1	1	0	0	0	0
python/test/unit/runtime/test_cache.py::test_combine_fn_change	community/runtime/test_cache.py	1	1	0	0	0	0
python/test/unit/runtime/test_cache.py::test_conflicting_global_in_inner_function	community/runtime/test_cache.py	1	1	0	0	0	0
python/test/unit/runtime/test_cache.py::test_constexpr_cache_invalidation_recreated	community/runtime/test_cache.py	1	1	0	0	0	0
python/test/unit/runtime/test_cache.py::test_constexpr_fn_change	community/runtime/test_cache.py	1	1	0	0	0	0
python/test/unit/runtime/test_cache.py::test_higher_order_kernel	community/runtime/test_cache.py	1	1	0	0	0	0
python/test/unit/runtime/test_cache.py::test_hooks	community/runtime/test_cache.py	1	1	0	0	0	0
python/test/unit/runtime/test_cache.py::test_invalid_constexpr_fn	community/runtime/test_cache.py	1	1	0	0	0	0
python/test/unit/runtime/test_cache.py::test_jit_debug	community/runtime/test_cache.py	1	1	0	0	0	0
python/test/unit/runtime/test_cache.py::test_jit_warmup_cache	community/runtime/test_cache.py	1	1	0	0	0	0
python/test/unit/runtime/test_cache.py::test_kernel_default_arg	community/runtime/test_cache.py	1	1	0	0	0	0
python/test/unit/runtime/test_cache.py::test_kernel_global_var_change	community/runtime/test_cache.py	1	1	0	0	0	0
python/test/unit/runtime/test_cache.py::test_local_does_not_shadow_global	community/runtime/test_cache.py	1	1	0	0	0	0
python/test/unit/runtime/test_cache.py::test_local_shadows_global	community/runtime/test_cache.py	1	1	0	0	0	0
python/test/unit/runtime/test_cache.py::test_nested1_change	community/runtime/test_cache.py	1	1	0	0	0	0
python/test/unit/runtime/test_cache.py::test_nested2_change	community/runtime/test_cache.py	1	1	0	0	0	0
python/test/unit/runtime/test_cache.py::test_no_cache_callable	community/runtime/test_cache.py	1	1	0	0	0	0
python/test/unit/runtime/test_cache.py::test_no_cache_module_as_global	community/runtime/test_cache.py	1	1	0	0	0	0
python/test/unit/runtime/test_cache.py::test_nochange	community/runtime/test_cache.py	1	1	0	0	0	0
python/test/unit/runtime/test_cache.py::test_preload	community/runtime/test_cache.py	1	1	0	0	0	0
python/test/unit/runtime/test_cache.py::test_reuse	community/runtime/test_cache.py	1	1	0	0	0	0
python/test/unit/runtime/test_cache.py::test_toplevel_change	community/runtime/test_cache.py	1	1	0	0	0	0
python/test/unit/runtime/test_cache.py::test_use_builtin	community/runtime/test_cache.py	1	1	0	0	0	0
python/test/unit/runtime/test_compilation_listener.py::test_compile_stats	community/runtime/test_compilation_listener.py	1	1	0	0	0	0
python/test/unit/runtime/test_driver.py::test_is_lazy	community/runtime/test_driver.py	1	1	0	0	0	0
python/test/unit/runtime/test_driver.py::test_kernel_in_thread	community/runtime/test_driver.py	1	1	0	0	0	0
python/test/unit/runtime/test_launch.py::test_load_hook	community/runtime/test_launch.py	1	1	0	0	0	0
python/test/unit/runtime/test_launch.py::test_memory_leak	community/runtime/test_launch.py	1	1	0	0	0	0
python/test/unit/runtime/test_launch.py::test_metadata	community/runtime/test_launch.py	1	1	0	0	0	0
python/test/unit/runtime/test_launch.py::test_multiple_hooks	community/runtime/test_launch.py	1	1	0	0	0	0
python/test/unit/runtime/test_launch.py::test_pre_run_hooks	community/runtime/test_launch.py	1	1	0	0	0	0
python/test/unit/runtime/test_specialize.py::test_specialize_impl	community/runtime/test_specialize.py	96	96	0	0	0	0
python/test/unit/runtime/test_subproc.py::test_compile_in_forked_subproc_with_forced_gc	community/runtime/test_subproc.py	1	1	0	0	0	0
python/test/unit/test_debug.py::test_device_assert_barrier	community/test_debug.py	1	1	0	0	0	0
python/test/unit/test_debug.py::test_static_assert	community/test_debug.py	2	2	0	0	0	0
python/test/unit/test_debug_dump.py::test_fn_dump	community/test_debug_dump.py	1	1	0	0	0	0
python/test/unit/test_filecheck.py::test_filecheck_negative	community/test_filecheck.py	1	1	0	0	0	0
python/test/unit/test_filecheck.py::test_filecheck_positive	community/test_filecheck.py	1	1	0	0	0	0
python/test/unit/test_knobs.py::test_env_updated	community/test_knobs.py	1	1	0	0	0	0
python/test/unit/test_knobs.py::test_knobs_scope	community/test_knobs.py	1	1	0	0	0	0
python/test/unit/test_knobs.py::test_knobs_utils	community/test_knobs.py	1	1	0	0	0	0
python/test/unit/test_knobs.py::test_opt_bool	community/test_knobs.py	1	1	0	0	0	0
python/test/unit/test_knobs.py::test_read_env	community/test_knobs.py	7	7	0	0	0	0
python/test/unit/test_knobs.py::test_set_knob_directly	community/test_knobs.py	1	1	0	0	0	0
python/test/unit/test_knobs.py::test_triton_home	community/test_knobs.py	1	1	0	0	0	0
python/test/unit/tools/test_linear_layout.py::test_compose	community/tools/test_linear_layout.py	1	1	0	0	0	0
python/test/unit/tools/test_linear_layout.py::test_get_matrix_view_from_bases	community/tools/test_linear_layout.py	1	1	0	0	0	0
python/test/unit/tools/test_linear_layout.py::test_get_matrix_view_identity	community/tools/test_linear_layout.py	1	1	0	0	0	0
python/test/unit/tools/test_linear_layout.py::test_get_matrix_view_strided	community/tools/test_linear_layout.py	1	1	0	0	0	0
python/test/unit/tools/test_linear_layout.py::test_identity_1d	community/tools/test_linear_layout.py	1	1	0	0	0	0
python/test/unit/tools/test_linear_layout.py::test_identity_2d	community/tools/test_linear_layout.py	1	1	0	0	0	0
python/test/unit/tools/test_linear_layout.py::test_invert	community/tools/test_linear_layout.py	1	1	0	0	0	0
python/test/unit/tools/test_linear_layout.py::test_invert_and_compose	community/tools/test_linear_layout.py	1	1	0	0	0	0
python/test/unit/tools/test_linear_layout.py::test_operator_mul_disjoint_dims	community/tools/test_linear_layout.py	1	1	0	0	0	0
python/test/unit/tools/test_linear_layout.py::test_operator_mul_identity	community/tools/test_linear_layout.py	1	1	0	0	0	0
python/test/unit/tools/test_linear_layout.py::test_zeros_1d	community/tools/test_linear_layout.py	1	1	0	0	0	0
